id,acc_app_id,area,acc_activity_id,actividad,organization_name,pais,province_id,provincia,canton
11997,687,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11998,687,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11999,687,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
10662,1247,CERTIFICACIÓN,6,PRODUCTOS,KIWA BCS ECUADOR CIA. LTDA.,Ecuador,5,Chimborazo,Riobamba
10663,1247,CERTIFICACIÓN,6,PRODUCTOS,KIWA BCS ECUADOR CIA. LTDA.,Ecuador,5,Chimborazo,Riobamba
10664,1247,CERTIFICACIÓN,6,PRODUCTOS,KIWA BCS ECUADOR CIA. LTDA.,Ecuador,5,Chimborazo,Riobamba
10665,1247,CERTIFICACIÓN,6,PRODUCTOS,KIWA BCS ECUADOR CIA. LTDA.,Ecuador,5,Chimborazo,Riobamba
10666,1247,CERTIFICACIÓN,6,PRODUCTOS,KIWA BCS ECUADOR CIA. LTDA.,Ecuador,5,Chimborazo,Riobamba
10667,1247,CERTIFICACIÓN,6,PRODUCTOS,KIWA BCS ECUADOR CIA. LTDA.,Ecuador,5,Chimborazo,Riobamba
10668,1247,CERTIFICACIÓN,6,PRODUCTOS,KIWA BCS ECUADOR CIA. LTDA.,Ecuador,5,Chimborazo,Riobamba
10669,1247,CERTIFICACIÓN,6,PRODUCTOS,KIWA BCS ECUADOR CIA. LTDA.,Ecuador,5,Chimborazo,Riobamba
7870,1013,LABORATORIOS,12,ENSAYOS,UNIVERSIDAD NACIONAL DE CHIMBORAZO,Ecuador,5,Chimborazo,Riobamba
14367,1013,LABORATORIOS,12,ENSAYOS,UNIVERSIDAD NACIONAL DE CHIMBORAZO,Ecuador,5,Chimborazo,Riobamba
14368,1013,LABORATORIOS,12,ENSAYOS,UNIVERSIDAD NACIONAL DE CHIMBORAZO,Ecuador,5,Chimborazo,Riobamba
14369,1013,LABORATORIOS,12,ENSAYOS,UNIVERSIDAD NACIONAL DE CHIMBORAZO,Ecuador,5,Chimborazo,Riobamba
17670,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
17672,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
17673,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
17675,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
17676,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
18454,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
23740,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
27383,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
27384,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
27385,1256,INSPECCIÓN,7,INSPECCION,CEDINAP CENTRO DE INGENIERÍA,Ecuador,5,Chimborazo,Riobamba
510,3,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21157,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21158,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21159,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21160,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
